country_or_region,date,variable,generation_twh
Romania,01-03-20,Nuclear,1.05
Romania,01-03-20,Solar,0.11
Romania,01-03-20,Wind,0.85
Romania,01-03-20,Wind and solar,0.96
Romania,01-04-20,Bioenergy,0.03
Romania,01-04-20,Clean,2.98
Romania,01-04-20,Coal,0.47
Romania,01-04-20,Fossil,1.01
Romania,01-04-20,Gas,0.54
Romania,01-04-20,Hydro,1.13
Romania,01-04-20,Nuclear,1.02
Romania,01-04-20,Solar,0.17
Romania,01-04-20,Wind,0.63
Romania,01-04-20,Wind and solar,0.8
Romania,01-05-20,Bioenergy,0.04
Romania,01-05-20,Clean,2.95
Romania,01-05-20,Coal,0.47
Romania,01-05-20,Fossil,0.95
Romania,01-05-20,Gas,0.48
Romania,01-05-20,Hydro,1.06
Romania,01-05-20,Nuclear,1.04
Romania,01-05-20,Solar,0.15
Romania,01-05-20,Wind,0.66
Romania,01-05-20,Wind and solar,0.81
Romania,01-06-20,Bioenergy,0.03
Romania,01-06-20,Clean,3
Romania,01-06-20,Coal,0.52
Romania,01-06-20,Fossil,1.11
Romania,01-06-20,Gas,0.59
Romania,01-06-20,Hydro,1.73
Romania,01-06-20,Nuclear,0.82
Romania,01-06-20,Solar,0.14
Romania,01-06-20,Wind,0.28
Romania,01-06-20,Wind and solar,0.42
Romania,01-07-20,Bioenergy,0.03
Romania,01-07-20,Clean,2.81
Romania,01-07-20,Coal,0.92
Romania,01-07-20,Fossil,1.75
Romania,01-07-20,Gas,0.83
Romania,01-07-20,Hydro,1.74
Romania,01-07-20,Nuclear,0.51
Romania,01-07-20,Solar,0.16
Romania,01-07-20,Wind,0.37
Romania,01-07-20,Wind and solar,0.53
Romania,01-08-20,Bioenergy,0.03
Romania,01-08-20,Clean,2.87
Romania,01-08-20,Coal,0.94
Romania,01-08-20,Fossil,1.75
Romania,01-08-20,Gas,0.81
Romania,01-08-20,Hydro,1.36
Romania,01-08-20,Nuclear,0.89
Romania,01-08-20,Solar,0.16
Romania,01-08-20,Wind,0.43
Romania,01-08-20,Wind and solar,0.59
Romania,01-09-20,Bioenergy,0.03
Romania,01-09-20,Clean,2.74
Romania,01-09-20,Coal,0.89
Romania,01-09-20,Fossil,1.7
Romania,01-09-20,Gas,0.81
Romania,01-09-20,Hydro,1.04
Romania,01-09-20,Nuclear,0.99
Romania,01-09-20,Solar,0.14
Romania,01-09-20,Wind,0.54
Romania,01-09-20,Wind and solar,0.68
Romania,01-10-20,Bioenergy,0.05
